date,symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
27-05-2008,TECHM,EQ,815.1,830,835,817,823.05,822.1,826,144705,1.19527E+13,,56743,0.3921
28-05-2008,TECHM,EQ,822.1,825.1,837.9,819,834,832.85,829.22,178570,1.48073E+13,,69546,0.3895
29-05-2008,TECHM,EQ,832.85,850,859,832.25,834.95,837.65,844.62,345762,2.92036E+13,,187021,0.5409
30-05-2008,TECHM,EQ,837.65,841,875,839,860,864.45,858.61,342401,2.93989E+13,,166405,0.486
02-06-2008,TECHM,EQ,864.45,870,875,820,821,831.35,851.77,240902,2.05193E+13,,148357,0.6158
03-06-2008,TECHM,EQ,831.35,826,849.9,777,822,821.3,813.84,76840,6.25353E+12,,26450,0.3442
04-06-2008,TECHM,EQ,821.3,825,833,775.2,797,787.05,796.71,130024,1.03592E+13,,77810,0.5984
05-06-2008,TECHM,EQ,787.05,798.8,858,785,846,845.9,826.98,218504,1.80698E+13,,52279,0.2393
06-06-2008,TECHM,EQ,845.9,851,868,818,820,822.4,838,103494,8.67285E+12,,33535,0.324
09-06-2008,TECHM,EQ,822.4,801,804.45,780,800,794.35,792.58,71338,5.6541E+12,,27676,0.388
10-06-2008,TECHM,EQ,794.35,790,795,731,738,739.3,749.11,160312,1.20091E+13,,69102,0.431
11-06-2008,TECHM,EQ,739.3,742,772,735,771,764.5,757.48,144968,1.0981E+13,,39781,0.2744
12-06-2008,TECHM,EQ,764.5,740,798.95,720,782,776.5,764.49,116916,8.93815E+12,,37719,0.3226
13-06-2008,TECHM,EQ,776.5,789.9,815,773.5,791.35,793.65,800.06,171874,1.3751E+13,,49460,0.2878
16-06-2008,TECHM,EQ,793.65,801.1,814,782.2,783.05,787.95,798.04,64274,5.12931E+12,,19808,0.3082
17-06-2008,TECHM,EQ,787.95,800,824.9,780,813.9,813.7,806.98,124693,1.00624E+13,,34675,0.2781
18-06-2008,TECHM,EQ,813.7,828.4,828.4,780.25,789.9,789.55,802.7,87046,6.98716E+12,,34372,0.3949
19-06-2008,TECHM,EQ,789.55,780,801.9,775,777,779.35,785.44,92619,7.27466E+12,,32091,0.3465
20-06-2008,TECHM,EQ,779.35,785,794.95,751,757,754.75,772.35,92364,7.13369E+12,,29974,0.3245
23-06-2008,TECHM,EQ,754.75,750.05,768.45,736.8,767,762.8,755.88,108262,8.18332E+12,,46578,0.4302
24-06-2008,TECHM,EQ,762.8,774,798,745.5,748.2,756.5,770.97,89692,6.91499E+12,,18819,0.2098
25-06-2008,TECHM,EQ,756.5,750,765,736.15,746,751.45,751.25,115759,8.69645E+12,,48911,0.4225
26-06-2008,TECHM,EQ,751.45,760,760,725,728.25,729.65,738.28,151238,1.11656E+13,,87352,0.5776
27-06-2008,TECHM,EQ,729.65,730,730,703,705.2,710,713.04,49300,3.51528E+12,,20343,0.4126
30-06-2008,TECHM,EQ,710,715,725,703,717.4,715.35,713.27,132919,9.48077E+12,,71652,0.5391
01-07-2008,TECHM,EQ,715.35,720,721,690,698,694.75,700.83,81904,5.74009E+12,,32531,0.3972
02-07-2008,TECHM,EQ,694.75,700,715.6,675,712,712.3,698.6,58714,4.10178E+12,,20037,0.3413
03-07-2008,TECHM,EQ,712.3,702.5,711,682,692,691.95,691.82,59738,4.13282E+12,,38489,0.6443
04-07-2008,TECHM,EQ,691.95,700.4,712,683.15,711.85,706.75,697.19,47600,3.31862E+12,,18090,0.38
07-07-2008,TECHM,EQ,706.75,706.75,743.45,706.75,721,728.05,730.58,57632,4.21049E+12,,12065,0.2093
08-07-2008,TECHM,EQ,728.05,701,721.1,701,713,713.1,713,28609,2.03981E+12,,8527,0.2981
